time,msenconds,signal,signal_copy
00:03:09.780767,13.877,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:09.880197,13.976,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:09.980927,14.077,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:10.080633,14.176,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:10.181526,14.277,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:10.280753,14.377,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:10.382280,14.478,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:10.480607,14.576,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:10.582294,14.678,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:10.681784,14.778,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:10.782695,14.879,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:10.880647,14.976,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:10.982330,15.078,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:11.083027,15.179,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:11.183462,15.279,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:11.283636,15.379,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:11.383975,15.480,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:11.484834,15.581,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:11.584245,15.680,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:11.684659,15.781,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:11.785271,15.881,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:11.886164,15.982,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:11.984386,16.080,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
